
DECIMAL       HEXADECIMAL     DESCRIPTION
12784672      0xC31420        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/__pycache__/shellapp.cpython-310.pyc
12786112      0xC319C0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/extensions/__pycache__/__init__.cpython-310.pyc
12806432      0xC36920        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/extensions/storemagic.py
12866144      0xC45260        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/extensions/__init__.py
12866784      0xC454E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/utils/frame.py
12995152      0xC64A50        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/plugins/__pycache__/flask.cpython-310.pyc
13126000      0xC84970        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/terminal/shortcuts/__pycache__/auto_suggest.cpython-310.pyc
13151072      0xC8AB60        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/terminal/shortcuts/__init__.py
13152224      0xC8AFE0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/terminal/shortcuts/__init__.py
13154384      0xC8B850        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/terminal/shortcuts/auto_match.py
13260528      0xCA56F0        Unix path: /usr/lib/python3.10/concurrent/futures/thread.py
13260640      0xCA5760        Unix path: /usr/lib/python3.10/concurrent/futures/thread.py
13266464      0xCA6E20        Unix path: /usr/lib/python3.10/urllib/__pycache__/request.cpython-310.pyc
13319264      0xCB3C60        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/terminal/pt_inputhooks/__pycache__/__init__.cpython-310.pyc
13407168      0xCC93C0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/terminal/pt_inputhooks/__init__.py
13417392      0xCCBBB0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/magics/__init__.py
13575808      0xCF2680        Unix path: /usr/lib/python3.10/urllib/request.py
13678024      0xD0B5C8        Unix path: /opt/secret/bin/ruby'
13688032      0xD0DCE0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/utils/contexts.py
13691872      0xD0EBE0        Unix path: /usr/lib/python3.10/lib-dynload/_lsprof.cpython-310-x86_64-linux-gnu.so
13694560      0xD0F660        Unix path: /usr/lib/python3.10/email/__pycache__/_policybase.cpython-310.pyc
13695584      0xD0FA60        Unix path: /usr/lib/python3.10/email/__pycache__/quoprimime.cpython-310.pyc
13697120      0xD10060        Unix path: /usr/lib/python3.10/email/__pycache__/base64mime.cpython-310.pyc
13698528      0xD105E0        Unix path: /usr/lib/python3.10/email/__pycache__/_encoded_words.cpython-310.pyc
13706336      0xD12460        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/utils/__pycache__/contexts.cpython-310.pyc
13707616      0xD12960        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/magics/__pycache__/config.cpython-310.pyc
13712896      0xD13E00        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/magics/__pycache__/display.cpython-310.pyc
13714656      0xD144E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/utils/__pycache__/module_paths.cpython-310.pyc
13715296      0xD14760        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/magics/__pycache__/ast_mod.cpython-310.pyc
13715936      0xD149E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/magics/__pycache__/history.cpython-310.pyc
13716096      0xD14A80        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/magics/__pycache__/osm.cpython-310.pyc
13716736      0xD14D00        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/magics/__pycache__/pylab.cpython-310.pyc
13717376      0xD14F80        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/magics/__pycache__/packaging.cpython-310.pyc
13775843      0xD233E3        Unix path: /home/tsuser/sprint/ipython'
13851552      0xD35BA0        Unix path: /usr/lib/python3.10/email/__init__.py
13856544      0xD36F20        Unix path: /usr/lib/python3.10/urllib/error.py
13859520      0xD37AC0        Unix path: /usr/lib/python3.10/email/parser.py
13859904      0xD37C40        Unix path: /usr/lib/python3.10/email/parser.py
13866736      0xD396F0        Unix path: /usr/lib/python3.10/http/__pycache__/__init__.cpython-310.pyc
13870432      0xD3A560        Unix path: /usr/lib/python3.10/urllib/__pycache__/error.cpython-310.pyc
13872112      0xD3ABF0        Unix path: /usr/lib/python3.10/email/__pycache__/errors.cpython-310.pyc
13873904      0xD3B2F0        Unix path: /usr/lib/python3.10/email/__pycache__/header.cpython-310.pyc
13875136      0xD3B7C0        Unix path: /usr/lib/python3.10/email/__pycache__/utils.cpython-310.pyc
13875920      0xD3BAD0        Unix path: /usr/lib/python3.10/email/__pycache__/charset.cpython-310.pyc
13879280      0xD3C7F0        Unix path: /usr/lib/python3.10/__pycache__/calendar.cpython-310.pyc
13882480      0xD3D470        Unix path: /usr/lib/python3.10/email
13915744      0xD45660        Ubiquiti partition header, header size: 56 bytes, name: "PARTIAL_CONTENT", base address: 0x3C36816B, data size: -452984832 bytes
13983344      0xD55E70        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/value/function.py
14176864      0xD85260        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/gradual/base.py
14179680      0xD85D60        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/syntax_tree.py
14180064      0xD85EE0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/_compatibility.py
14180960      0xD86260        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/api/exceptions.py
14183904      0xD86DE0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/syntax_tree.py
14185312      0xD87360        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/api/keywords.py
14185952      0xD875E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/api/helpers.py
14186592      0xD87860        Unix path: /usr/lib/python3.10/pydoc_data/__pycache__/__init__.cpython-310.pyc
14189280      0xD882E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/api/completion.py
14190816      0xD888E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/api/environment.py
14191840      0xD88CE0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/api/environment.py
14220432      0xD8FC90        End of Zip archive, footer length: 22
14225936      0xD91210        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/gradual/type_var.py
14234576      0xD933D0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/gradual/type_var.py
14300960      0xDA3720        Unix path: /usr/lib/python3.10/zipfile.py
14312464      0xDA6410        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/compiled/subprocess
14357104      0xDB1270        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/compiled/subprocess/__pycache__/functions.cpython-310.pyc
14365543      0xDB3367        mcrypt 2.2 encrypted data, algorithm: blowfish-448, mode: CBC, keymode: 8bit
14407488      0xDBD740        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/api/__pycache__/exceptions.cpython-310.pyc
14407968      0xDBD920        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/gradual/__pycache__/annotation.cpython-310.pyc
14408768      0xDBDC40        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/__pycache__/param.cpython-310.pyc
14409408      0xDBDEC0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/value/__pycache__/decorator.cpython-310.pyc
14409728      0xDBE000        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/compiled/__pycache__/mixed.cpython-310.pyc
14411168      0xDBE5A0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/api/__pycache__/environment.cpython-310.pyc
14413088      0xDBED20        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/__pycache__/references.cpython-310.pyc
14414528      0xDBF2C0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/plugins/__pycache__/registry.cpython-310.pyc
14416768      0xDBFB80        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/terminal/shortcuts/__pycache__/filters.cpython-310.pyc
14418368      0xDC01C0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/terminal/__pycache__/magics.cpython-310.pyc
14420128      0xDC08A0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/terminal/__pycache__/ipapp.cpython-310.pyc
14420608      0xDC0A80        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/magics/__pycache__/__init__.cpython-310.pyc
14421088      0xDC0C60        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/magics/__pycache__/auto.cpython-310.pyc
14531936      0xDDBD60        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/compiled/subprocess/__main__.py
